pkg,bun_t1_ms,rb_t1_ms,bun_t2_ms,rb_t2_ms,bun_t3_ms,rb_t3_ms,ratio_t2,ratio_t3
lodash,15,5,61,171,54,168,2.80,3.11
chalk,11,4,40,12,36,10,0.30,0.28
commander,12,4,41,27,39,28,0.66,0.72
debug,13,4,40,10,39,11,0.25,0.28
ms,12,4,31,5,30,5,0.16,0.17
minimist,12,4,32,6,30,6,0.19,0.20
semver,13,4,49,1846,48,1737,37.67,36.19
glob,11,4,37,61,37,61,1.65,1.65
uuid,11,4,35,11,34,11,0.31,0.32
pino,11,4,61,38,62,38,0.62,0.61
@faker-js/faker,11,4,303,1249,306,1265,4.12,4.13
@hapi/boom,11,4,39,19,38,18,0.49,0.47
acorn-jsx,11,4,39,85,39,85,2.18,2.18
ansi-colors,11,4,32,9,31,9,0.28,0.29
async-iterator-to-stream,14,4,47,5,48,5,0.11,0.10
big-integer,11,4,38,37,37,37,0.97,1.00
@databases/sql,12,4,30,6,31,6,0.20,0.19
@opentelemetry/api,11,4,47,21,45,21,0.45,0.47
@opentelemetry/core,11,4,71,54,74,53,0.76,0.72
abort-controller,11,4,27,8,27,8,0.30,0.30
@jridgewell/resolve-uri,12,4,31,7,30,7,0.23,0.23
@xstate/fsm,12,4,32,6,37,7,0.19,0.19
ajv,16,6,88,86,69,82,0.98,1.19
ajv-formats,11,4,72,101,71,99,1.40,1.39
binary-extensions,11,4,29,5,29,5,0.17,0.17
buffer,12,4,28,4,28,4,0.14,0.14
color-convert,12,4,37,32,37,34,0.86,0.92
color-name,11,4,30,6,30,6,0.20,0.20
@actions/http-client,12,4,52,-1,-1,-1,0.00,0.00
@databases/pg,11,4,117,8,127,8,0.07,0.06
@dotenvx/dotenvx,13,4,113,1145,113,1154,10.13,10.21
@jest/expect,11,4,264,4122,271,4173,15.61,15.40
nx,11,4,-1,-1,-1,-1,0.00,0.00
@noble/ciphers,12,4,30,4,29,4,0.13,0.14
@noble/curves,11,4,30,4,29,4,0.13,0.14
@noble/hashes,13,5,34,5,32,4,0.15,0.12
@types/node,11,4,28,4,28,4,0.14,0.14
ast-types-flow,12,4,30,10,29,10,0.33,0.34
later,11,4,33,22,31,21,0.67,0.68
proxyquire,11,4,50,37,51,37,0.74,0.73
sentry,11,4,167,3574,164,3568,21.40,21.76
entities,12,4,38,-1,-1,-1,0.00,0.00
htmlparser2,12,4,44,-1,-1,-1,0.00,0.00
